GeneID	log2(FC)
FBgn0026562	-2.38255375304746
FBgn0039155	-4.07674246605832
FBgn0003360	-2.99542318408865
FBgn0025111	2.68038350346577
FBgn0029167	-2.11124928853028
FBgn0039827	-3.37069793823113
FBgn0035085	-2.41861841923028
FBgn0264475	-2.31429990152415
FBgn0034736	-2.92757215646128
FBgn0000071	2.33699940164525
FBgn0029896	-2.17486621455924
FBgn0038832	-2.28372207624058
FBgn0027279	-1.16269191876143
FBgn0035189	2.35990537060039
FBgn0001226	1.55764685857631
FBgn0040091	-1.46340061438288
FBgn0040099	-1.63623036756848
FBgn0023479	-1.43344793545773
FBgn0264753	-2.43091707618238
FBgn0011260	1.93650452759777
FBgn0039419	-1.11684352842713
FBgn0262733	1.82613315137762
FBgn0261552	-1.61734618601692
FBgn0033913	-1.12623017296789
FBgn0037754	-1.96113655451961
FBgn0085359	-2.60560460465252
FBgn0024288	-2.55128405046744
FBgn0031150	1.18389374390488
FBgn0052407	-1.80911695721535
FBgn0051092	1.88852456873519
FBgn0051363	0.927156624252439
FBgn0034010	-1.33216262578543
FBgn0283658	-1.08366060779298
FBgn0035147	-1.11827059735445
FBgn0264437	2.09110023656214
FBgn0261673	2.24691013733625
FBgn0003748	1.03747160376959
FBgn0001224	1.34216708732554
FBgn0040827	-1.6596329747715
FBgn0037468	0.909529932150445
FBgn0261596	-1.04359181625669
FBgn0283437	1.36812627418934
FBgn0037290	2.12228559246402
FBgn0016715	-1.83162439606331
FBgn0039109	-1.24225032558587
FBgn0063649	-1.14429138724041
FBgn0050147	-0.938934018963634
FBgn0038149	1.00594332464647
FBgn0032405	1.87424079585378
FBgn0053307	-1.29014735261477
FBgn0260011	1.81572338655771
FBgn0001137	-1.25241339332318
FBgn0259715	-1.54827053411792
FBgn0003137	0.864667460563387
FBgn0261584	-1.70334123394732
FBgn0001225	1.20992591299015
FBgn0031322	-1.30853970934265
FBgn0024315	-1.78552526201586
FBgn0039464	0.993489153233051
FBgn0040271	0.908949022224014
FBgn0051523	-0.754890110258774
FBgn0033367	1.25379694398806
FBgn0002868	-1.6608388978319
FBgn0000406	-1.64818798402403
FBgn0039257	-1.01807431058019
FBgn0036985	-1.20371907956635
FBgn0261800	-0.727402450788737
FBgn0265276	1.53518830951089
FBgn0001258	0.857376837986373
FBgn0030237	-0.895733984323838
FBgn0262057	-0.933872306219402
FBgn0031449	-0.842177750174473
FBgn0063498	-1.22028683983068
FBgn0032004	-1.0796395008069
FBgn0267992	-1.51539741335626
FBgn0033635	1.0774590753735
FBgn0031327	1.10542569831548
FBgn0051642	1.55653951094654
FBgn0030041	-1.80878654057677
FBgn0037239	-0.86253007663944
FBgn0039479	1.29482305466402
FBgn0051038	-0.915175635079934
FBgn0263232	1.16270197857964
FBgn0037153	1.43566774180914
FBgn0031805	-0.869194684949145
FBgn0024491	0.974297565338016
FBgn0034885	1.3389394128774
FBgn0052521	-0.809009255847181
FBgn0034389	-1.53727223152501
FBgn0000116	1.06963558502212
FBgn0027580	-0.872646332170969
FBgn0051195	0.767532657423565
FBgn0032598	0.997841833818972
FBgn0051337	-0.937343354727967
FBgn0050069	-0.836193191733653
FBgn0013763	-0.665289145961917
FBgn0034638	-0.861724384915746
FBgn0261560	-0.844437390386037
FBgn0023549	-1.27281783821601
FBgn0040398	-0.784549667248504
FBgn0036373	-0.957591714020404
FBgn0036299	0.82537332958553
FBgn0004369	-0.801610405136959
FBgn0036684	-0.797578674976445
FBgn0040388	-0.930558136639633
FBgn0022160	-0.877857693642924
FBgn0051431	-0.697364944062231
FBgn0261284	1.55016451806477
FBgn0035968	0.988539299113291
FBgn0052625	1.28952134374404
FBgn0038528	1.19951651966724
FBgn0037683	-0.818578600349143
FBgn0030805	0.902312539798437
FBgn0031359	-0.811298406923893
FBgn0050463	1.58309828244407
FBgn0028514	-0.917612917947518
FBgn0004396	0.99884244974132
FBgn0053516	-0.803315230020632
FBgn0000567	-1.08652036164453
FBgn0034438	1.40492230970797
FBgn0038198	1.52384613926307
FBgn0005593	-0.652795778089123
FBgn0032956	0.610216232694099
FBgn0003502	0.681971320580202
FBgn0031374	-0.758969904645702
FBgn0043364	-1.00806960830194
FBgn0039714	-0.644122542955628
FBgn0033426	-0.924015357963151
FBgn0028990	-0.7193263635231
FBgn0027515	0.823262549318942
FBgn0004893	-0.807778620373145
FBgn0037646	-1.55336139502994
FBgn0034718	1.1424095217755
FBgn0086365	-0.555093571453969
FBgn0028327	0.598320027684876
FBgn0261238	0.695633860987955
FBgn0031703	-1.38801391833514
FBgn0038476	0.653465182713744
FBgn0015371	-0.922073291124144
FBgn0086450	-0.55093005338348
FBgn0003076	0.653325641383462
FBgn0259749	-0.665590193794808
FBgn0033065	1.55531041332829
FBgn0039113	0.815682511739594
FBgn0029801	-0.758165456982205
FBgn0043841	-0.65250731862512
FBgn0024984	1.16848678235067
FBgn0037680	0.793863568200491
FBgn0028542	-0.933754126480423
FBgn0040752	-0.80053976644977
FBgn0266064	0.555417347319036
FBgn0001124	0.604547583195737
FBgn0038805	0.698204868054637
FBgn0004507	0.821301929585989
FBgn0036824	-0.608757874412247
FBgn0035150	0.543823390710875
FBgn0028473	-0.562626872027336
FBgn0036663	-0.663468743066691
FBgn0044047	-0.753211541721642
FBgn0031547	-1.1744463614389
FBgn0004108	0.757821105753248
FBgn0259740	0.768433217390463
FBgn0013811	-0.837222991326085
FBgn0011274	-0.686237649613695
FBgn0063492	0.72829937725442
FBgn0031313	-0.669145075646044
FBgn0286071	0.750270884148357
FBgn0052412	-0.630823571157315
FBgn0267635	1.04538476710954
FBgn0031307	0.709308531174338
FBgn0033775	1.38551806520361
FBgn0250867	0.771922357640147
FBgn0030529	-0.538642827334736
FBgn0038865	-0.913893018845437
FBgn0005640	0.624001295080138
FBgn0011722	-0.597171272012031
FBgn0263873	-0.870971259492889
FBgn0027594	-0.55538956403923
FBgn0030037	0.652344712291486
FBgn0025678	0.497143197038406
FBgn0039809	-0.8223674552241
FBgn0033724	1.14790616375515
FBgn0260745	-0.570925870966623
FBgn0013272	-0.477810674856552
FBgn0026376	-0.885337436462502
FBgn0035344	-1.23392590459126
FBgn0262620	0.959465660935132
FBgn0267252	-1.13170550005538
FBgn0038877	-0.639341472270973
FBgn0261808	-0.796793776651367
FBgn0027949	0.600432604036374
FBgn0026721	-0.698509196307714
FBgn0032638	-1.15001461035762
FBgn0010591	-0.648627250613389
FBgn0020257	-0.63493697189753
FBgn0086355	0.635031740274861
FBgn0266005	-0.841096814031591
FBgn0034354	0.836998592197139
FBgn0031258	-1.08185091442966
FBgn0000299	0.570406589415871
FBgn0035761	0.682068734576537
FBgn0033782	-1.0918341984952
FBgn0037635	-0.907131454031333
FBgn0031689	0.862398316935649
FBgn0036007	0.704514563780244
FBgn0267488	0.60315505510723
FBgn0032029	-0.836202540527613
FBgn0039640	-1.24106483203431
FBgn0027091	-0.622566632163085
FBgn0035266	0.873394146603127
FBgn0031913	-0.716827606956666
FBgn0035727	1.20862678117005
FBgn0035232	-0.554468917126709
FBgn0039098	-0.888102999431811
FBgn0032036	-0.557582292745874
FBgn0001122	0.683571426800538
FBgn0030598	1.33787785376823
FBgn0003074	0.58099596274319
FBgn0031117	0.83453140535638
FBgn0036896	-0.778468240283542
FBgn0039613	-0.542599424512168
FBgn0259821	0.923938281568516
FBgn0032859	-0.489980435485572
FBgn0039886	-0.623354840157559
FBgn0005660	0.86660417684796
FBgn0263041	-1.20135517734177
FBgn0266873	0.592157043961427
FBgn0039776	-0.510851703498735
FBgn0001091	0.61783864040926
FBgn0262579	-0.567990691256607
FBgn0034400	-0.528551419003339
FBgn0010225	-0.488592876323519
FBgn0030349	-0.569767977160613
FBgn0038660	-0.517407681488024
FBgn0033504	-0.671173832522992
FBgn0031516	0.667558449017932
FBgn0015568	0.892371094857144
FBgn0259224	0.956099040673817
FBgn0041629	0.518892318979392
FBgn0032775	-0.716980192099129
FBgn0027348	-0.900872396312712
FBgn0037739	0.732968068769283
FBgn0045852	-0.620682805743298
FBgn0285963	0.515462856943376
FBgn0020248	1.26566552185275
FBgn0029095	-0.489476379039333
FBgn0259111	0.574482478811294
FBgn0013680	1.27422365711678
FBgn0010470	0.453692302579036
FBgn0000079	-1.00042945394393
FBgn0027596	-0.76966799598059
FBgn0001114	-0.536941842676259
FBgn0086906	0.676315957929173
FBgn0013688	1.24428187016668
FBgn0033188	-0.533855461673501
FBgn0041342	-0.545022678785637
