category	over_represented_pvalue	under_represented_pvalue	numDEInCat	numInCat	term	ontology	p_adjust_over_represented	p_adjust_under_represented
GO:0051610	0.9190016680251	0.999999999849297	1	1	serotonin uptake	BP	0.973351229037337	1
GO:0051638	0.9190016680251	0.999999999849297	1	1	barbed-end actin filament uncapping	BP	0.973351229037337	1
GO:0051660	0.9190016680251	0.999999999849297	1	1	establishment of centrosome localization	BP	0.973351229037337	1
GO:0051694	0.9190016680251	0.999999999849297	1	1	pointed-end actin filament capping	BP	0.973351229037337	1
GO:0051695	0.9190016680251	0.999999999849297	1	1	actin filament uncapping	BP	0.973351229037337	1
GO:0051717	0.9190016680251	0.999999999849796	1	1	inositol-1,3,4,5-tetrakisphosphate 3-phosphatase activity	MF	0.973351229037337	1
GO:0051748	0.9190016680251	0.999999999849297	1	1	UTP-monosaccharide-1-phosphate uridylyltransferase activity	MF	0.973351229037337	1
GO:0051800	0.9190016680251	0.999999999849796	1	1	phosphatidylinositol-3,4-bisphosphate 3-phosphatase activity	MF	0.973351229037337	1
GO:0051880	0.9190016680251	0.999999999849297	1	1	G-quadruplex DNA binding	MF	0.973351229037337	1
GO:0051895	0.9190016680251	0.999999999849796	1	1	negative regulation of focal adhesion assembly	BP	0.973351229037337	1
GO:0051934	0.9190016680251	0.999999999849036	1	1	catecholamine uptake involved in synaptic transmission	BP	0.973351229037337	1
GO:0051972	0.9190016680251	0.999999999849036	1	1	regulation of telomerase activity	BP	0.973351229037337	1
GO:0051973	0.9190016680251	0.999999999849036	1	1	positive regulation of telomerase activity	BP	0.973351229037337	1
GO:0051984	0.9190016680251	0.999999999849297	1	1	positive regulation of chromosome segregation	BP	0.973351229037337	1
GO:0052575	0.9190016680251	0.999999999849297	1	1	carbohydrate localization	BP	0.973351229037337	1
GO:0052576	0.9190016680251	0.999999999849297	1	1	carbohydrate storage	BP	0.973351229037337	1
GO:0052642	0.9190016680251	0.999999999849297	1	1	lysophosphatidic acid phosphatase activity	MF	0.973351229037337	1
GO:0052695	0.9190016680251	0.999999999849297	1	1	cellular glucuronidation	BP	0.973351229037337	1
GO:0052743	0.9190016680251	0.999999999849796	1	1	inositol tetrakisphosphate phosphatase activity	MF	0.973351229037337	1
GO:0052746	0.9190016680251	0.999999999848615	1	1	inositol phosphorylation	BP	0.973351229037337	1
GO:0052767	0.9190016680251	0.999999999849297	1	1	mannosyl-oligosaccharide 1,6-alpha-mannosidase activity	MF	0.973351229037337	1
GO:0052813	0.9190016680251	0.999999999849297	1	1	phosphatidylinositol bisphosphate kinase activity	MF	0.973351229037337	1
GO:0052842	0.9190016680251	0.999999999849036	1	1	inositol diphosphate pentakisphosphate diphosphatase activity	MF	0.973351229037337	1
GO:0052917	0.9190016680251	0.999999999848834	1	1	dolichyl-P-Man:Man(7)GlcNAc(2)-PP-dolichol alpha-1,6-mannosyltransferase	MF	0.973351229037337	1
GO:0055024	0.9190016680251	0.999999999849297	1	1	regulation of cardiac muscle tissue development	BP	0.973351229037337	1
GO:0055047	0.9190016680251	0.999999999849036	1	1	generative cell mitosis	BP	0.973351229037337	1
GO:0055071	0.9190016680251	0.999999999849297	1	1	manganese ion homeostasis	BP	0.973351229037337	1
GO:0055091	0.9190016680251	0.999999999849297	1	1	phospholipid homeostasis	BP	0.973351229037337	1
GO:0060002	0.9190016680251	0.999999999849297	1	1	plus-end directed microfilament motor activity	MF	0.973351229037337	1
GO:0060003	0.9190016680251	0.999999999849297	1	1	copper ion export	BP	0.973351229037337	1
GO:0060052	0.9190016680251	0.999999999849297	1	1	neurofilament cytoskeleton organization	BP	0.973351229037337	1
GO:0060066	0.9190016680251	0.999999999849297	1	1	oviduct development	BP	0.973351229037337	1
GO:0060072	0.9190016680251	0.999999999849297	1	1	large conductance calcium-activated potassium channel activity	MF	0.973351229037337	1
GO:0060076	0.9190016680251	0.999999999849297	1	1	excitatory synapse	CC	0.973351229037337	1
GO:0060091	0.9190016680251	0.999999999849297	1	1	kinocilium	CC	0.973351229037337	1
GO:0060097	0.9190016680251	0.999999999849297	1	1	cytoskeletal rearrangement involved in phagocytosis, engulfment	BP	0.973351229037337	1
GO:0060099	0.9190016680251	0.999999999849297	1	1	regulation of phagocytosis, engulfment	BP	0.973351229037337	1
GO:0060100	0.9190016680251	0.999999999849297	1	1	positive regulation of phagocytosis, engulfment	BP	0.973351229037337	1
GO:0060159	0.9190016680251	0.999999999849297	1	1	regulation of dopamine receptor signaling pathway	BP	0.973351229037337	1
GO:0060188	0.9190016680251	0.999999999849297	1	1	regulation of protein desumoylation	BP	0.973351229037337	1
GO:0060189	0.9190016680251	0.999999999849297	1	1	positive regulation of protein desumoylation	BP	0.973351229037337	1
GO:0060205	0.9190016680251	0.999999999849297	1	1	cytoplasmic vesicle lumen	CC	0.973351229037337	1
GO:0060287	0.9190016680251	0.999999999849036	1	1	epithelial cilium movement involved in determination of left/right asymmetry	BP	0.973351229037337	1
GO:0060292	0.9190016680251	0.999999999849297	1	1	long-term synaptic depression	BP	0.973351229037337	1
GO:0060394	0.9190016680251	0.999999999849297	1	1	negative regulation of pathway-restricted SMAD protein phosphorylation	BP	0.973351229037337	1
GO:0060465	0.9190016680251	0.999999999849297	1	1	pharynx development	BP	0.973351229037337	1
GO:0060568	0.9190016680251	0.999999999848588	1	1	regulation of peptide hormone processing	BP	0.973351229037337	1
GO:0060570	0.9190016680251	0.999999999848588	1	1	negative regulation of peptide hormone processing	BP	0.973351229037337	1
