	GSM461182_untreat_single_featureCounts.counts	GSM461178_untreat_paired_featureCounts.counts	GSM461176_untreat_single_featureCounts.counts	GSM461177_untreat_paired_featureCounts.counts	GSM461181_treat_paired_featureCounts.counts	GSM461179_treat_single_featureCounts.counts	GSM461180_treat_paired_featureCounts.counts
FBgn0037678	15.0000600397835	7.59804326543983	16.5317654546492	24.8889923287643	61.5783057994392	39.8568513695387	74.7103107277373
FBgn0265276	60.0002401591339	57.7451288173427	93.1790416534776	77.7781010273883	227.839731457925	304.695140075026	237.578788114205
FBgn0039827	425.835037796075	469.559073804181	383.737343583676	497.779846575285	34.483851247686	26.2216127431176	17.9304745746569
FBgn0039109	663.33598842598	585.049331438867	586.126229755746	631.558180342393	261.092016589622	240.714404981819	224.130932183212
FBgn0063649	815.836598830446	679.26506793032	765.470836809213	840.003491095794	317.744057925106	330.916752818144	339.184810703927
FBgn0026562	52358.5429055331	86742.3011355672	51848.1251290858	76933.4308502309	15635.9634085936	9200.6394793051	14360.8159280857
FBgn0038149	674.16936512138	737.010196747663	670.287944797597	668.891668835539	1641.67763261305	1328.9113338212	1406.04804789602
FBgn0037223	37.5001500994587	30.3921730617593	45.5875956476691	34.2223644520509	9.85252892791027	6.29318705834822	7.47103107277373
FBgn0037290	26.6667734040595	12.1568692247037	15.5298402755796	15.5556202054777	128.082876062834	159.427405478155	129.995940666263
FBgn0039593	20.0000800530446	27.3529557555834	22.0423539395323	10.8889341438344	80.051797539271	77.615973719628	61.2624547967446
FBgn0261552	7342.52938947401	7250.05288388268	11240.0976213929	8994.25960280718	1970.50578558205	3328.04708935648	2123.26703088229
FBgn0038198	29.1667834106901	10.6372605716158	23.044279118602	29.5556783904076	136.703838874755	98.0688316592598	107.582847447942
FBgn0002868	214.167523901353	138.284387431005	206.396586888348	113.556027499987	35.7154173636747	44.5767416632999	29.8841242910949
FBgn0039479	74.1669635300405	104.85299706307	92.1771164744079	110.444903458891	290.649603373353	238.61667596237	298.841242910949
FBgn0037754	410.001641087415	270.490340249658	361.194027054609	290.890097842432	62.809871915428	57.1631157799963	76.204516942292
FBgn0039257	760.836378684573	653.431720827825	823.081534605718	714.002967431425	357.154173636747	342.978694679978	325.736954772934
FBgn0038528	96.6670535897157	95.7353451445418	81.1559395046418	94.8892832534137	247.544789313746	274.27806929301	200.223632750336
FBgn0024288	82.5003302188091	103.333388409982	101.69540567557	112.000465479439	3.69469834796635	4.19545803889881	4.48261864366424
FBgn0039419	2405.00962637862	2218.62863350843	2478.76289301832	2425.12119003397	1043.1365002425	1117.56513511167	996.635545108015
FBgn0039155	1340.00536355399	1273.43205128772	1225.35449400218	1154.22701924644	65.2730041474056	42.4790126438505	50.8030112948613
FBgn0039640	77.5003102055479	113.970648981597	114.21947041394	107.333779417796	25.8628884357645	32.5147998014658	35.8609491493139
